"","c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"gradient60"," temp_diff flow_diff chinook0_hatchery_perhour_inp",0,0,1,1,0,0,1,-1201.63,2519.89,55,51,TRUE,22.7
"gradient7"," resid flow",1,1,0,0,0,0,0,-1204.11,2520.38,53,30,TRUE,23.18
"gradient61"," temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,0,1,0,1,1,-1201.9,2520.44,55,51,TRUE,23.25
"gradient10"," resid flow_diff",1,0,1,0,0,0,0,-1204.24,2520.64,53,34,TRUE,23.44
"gradient49"," flow temp_diff chinook0_hatchery_perhour_inp",0,1,0,1,0,0,1,-1202.06,2520.77,55,54,TRUE,23.57
"gradient11"," resid lunar_phase",1,0,0,0,0,1,0,-1204.38,2520.92,53,30,TRUE,23.72
"gradient97"," temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,1,0,1,1,-1201.54,2521.97,56,48,TRUE,24.77
"gradient90"," flow temp_diff flow_diff chinook0_hatchery_perhour_inp",0,1,1,1,0,0,1,-1201.62,2522.13,56,47,TRUE,24.93
"gradient3"," temp_diff",0,0,0,1,0,0,0,-1206.17,2522.25,52,33,TRUE,25.05
"gradient30"," resid flow flow_diff",1,1,1,0,0,0,0,-1203.98,2522.35,54,35,TRUE,25.15
"gradient31"," resid flow lunar_phase",1,1,0,0,0,1,0,-1204.1,2522.59,54,38,TRUE,25.39
"gradient91"," flow temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,0,1,0,1,1,-1201.89,2522.67,56,45,TRUE,25.47
"gradient40"," resid flow_diff lunar_phase",1,0,1,0,0,1,0,-1204.23,2522.86,54,44,TRUE,25.66
"gradient22"," temp_diff flow_diff",0,0,1,1,0,0,0,-1205.68,2523.51,53,40,TRUE,26.31
"gradient14"," flow temp_diff",0,1,0,1,0,0,0,-1205.84,2523.84,53,32,TRUE,26.64
"gradient117"," flow temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,1,0,1,1,-1201.53,2524.2,57,49,TRUE,27
"gradient23"," temp_diff lunar_phase",0,0,0,1,0,1,0,-1206.15,2524.45,53,42,TRUE,27.25
