"c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" resid temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,0,1,1,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
" flow photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",0,1,1,1,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.98
" flow photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,0,1,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.99
" flow photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,0,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.99
" flow temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,1,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.99
" photoperiod temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,1,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.99
" resid flow photoperiod temp_diff flow_diff chinook0_hatchery_perhour_inp",1,1,1,1,1,0,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.99
" resid flow photoperiod temp_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,0,1,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.99
" resid flow photoperiod flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,0,1,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.99
" resid flow temp_diff flow_diff lunar_phase chinook0_hatchery_perhour_inp",1,1,1,1,0,1,1,-476.351709598989,983.990282468756,15,26,TRUE,8.91753920501264,0.01,0,0.99
