"","c","photoperiod_difference","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function6"," photo_diff flow",1,0,1,0,0,-1104.57417650015,2247.92624450491,19,61,TRUE,41.1534137129001,1.15784321897234e-09,4.14617688866261e-10,0.999999998761065
"function"," photo_diff",1,0,0,0,0,-1106.04352226267,2248.78643102841,18,60,TRUE,42.0136002363965,7.53117303893551e-10,2.69687424747093e-10,0.999999999030752
"function19"," photo_diff flow chinook0_hatchery_perhour_interpolate",1,0,1,0,1,-1104.02886335644,2248.91838245059,20,63,TRUE,42.1455516585743,7.05033476894344e-10,2.52468854136167e-10,0.999999999283221
"function8"," photo_diff chinook0_hatchery_perhour_interpolate",1,0,0,0,1,-1105.29716229492,2249.37221609445,19,67,TRUE,42.5993853024406,5.61902565972827e-10,2.01214412671912e-10,0.999999999484436
"function18"," photo_diff flow lunar_phase",1,0,1,1,0,-1104.34977450446,2249.56020474663,20,77,TRUE,42.7873739546185,5.11493122022173e-10,1.83163050617554e-10,0.999999999667599
"function28"," photo_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",1,0,1,1,1,-1103.72720957404,2250.40211145578,21,72,TRUE,43.629280663768,3.35754683288948e-10,1.20232021512243e-10,0.999999999787831
"function7"," photo_diff lunar_phase",1,0,0,1,0,-1105.85617025783,2250.49023202027,19,67,TRUE,43.717401228253,3.21282404705855e-10,1.15049573145808e-10,0.99999999990288
"function20"," photo_diff lunar_phase chinook0_hatchery_perhour_interpolate",1,0,0,1,1,-1105.02355340508,2250.90776254786,20,62,TRUE,44.1349317558447,2.60748212336802e-10,9.3372590868606e-11,0.999999999996253
"function2"," flow",0,0,1,0,0,-1111.39102150261,2259.48142950829,18,53,TRUE,52.708598716275,3.58486837462241e-12,1.2837228875382e-12,0.999999999997537
"function13"," flow chinook0_hatchery_perhour_interpolate",0,0,1,0,1,-1110.37689337944,2259.53167826349,19,67,TRUE,52.7588474714803,3.49592281754532e-12,1.25187194199917e-12,0.999999999998789
"function24"," flow lunar_phase chinook0_hatchery_perhour_interpolate",0,0,1,1,1,-1110.02974098139,2260.92013770048,20,71,TRUE,54.147306908465,1.74607019808163e-12,6.25258738198953e-13,0.999999999999414
"function12"," flow lunar_phase",0,0,1,1,0,-1111.15163581014,2261.08116312488,19,57,TRUE,54.3083323328642,1.61099975078091e-12,5.76890707211422e-13,0.999999999999991
"function4"," chinook0_hatchery_perhour_interpolate",0,0,0,0,1,-1116.9733188584,2270.64602421987,18,45,TRUE,63.8731934278585,1.34931166951575e-14,4.8318155412392e-15,0.999999999999996
"function14"," lunar_phase chinook0_hatchery_perhour_interpolate",0,0,0,1,1,-1116.68660638618,2272.15110427696,19,52,TRUE,65.378273484951,6.35752818998698e-15,2.27659807635621e-15,0.999999999999998
"function31","None",0,0,0,0,0,-1119.12816909311,2272.88146586752,17,38,TRUE,66.1086350755086,4.41257693215359e-15,1.58012105574875e-15,0.999999999999999
"function3"," lunar_phase",0,0,0,1,0,-1118.97963548174,2274.65865746654,18,55,TRUE,67.8858266745247,1.81459637061304e-15,6.49797607379396e-16,1
