"","c","temperature","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function10"," temp_diff lunar_phase",0,1,0,1,0,-1098.02665972134,2234.83121094729,19,56,TRUE,12.3926121976629,0.00203694101525362,0.000679869591936583,0.999999920204916
"function6"," temp flow",1,0,1,0,0,-1108.42435559722,2255.62660269905,19,55,TRUE,33.1880039494254,6.21321682603983e-08,2.07378473726067e-08,0.999999940942763
"function19"," temp flow chinook0_hatchery_perhour_interpolate",1,0,1,0,1,-1107.40537852607,2255.67141278985,20,78,TRUE,33.2328140402228,6.07555731334421e-08,2.02783813594933e-08,0.999999961221145
"function28"," temp flow lunar_phase chinook0_hatchery_perhour_interpolate",1,0,1,1,1,-1107.1924156747,2257.33252365709,21,81,TRUE,34.8939249074683,2.64777136074724e-08,8.83746373160668e-09,0.999999970058608
"function18"," temp flow lunar_phase",1,0,1,1,0,-1108.29403556848,2257.44872687467,20,74,TRUE,35.0101281250468,2.49831544168948e-08,8.33862486518198e-09,0.999999978397233
"function8"," temp chinook0_hatchery_perhour_interpolate",1,0,0,0,1,-1109.6982936928,2258.17447889021,19,63,TRUE,35.7358801405812,1.73800981419835e-08,5.80095355885248e-09,0.999999984198187
"function"," temp",1,0,0,0,0,-1111.28419529769,2259.26777709844,18,52,TRUE,36.8291783488157,1.00611016088524e-08,3.35809284315052e-09,0.99999998755628
"function2"," flow",0,0,1,0,0,-1111.39102150261,2259.48142950829,18,53,TRUE,37.0428307586626,9.04172936562169e-09,3.01785707498302e-09,0.999999990574137
"function13"," flow chinook0_hatchery_perhour_interpolate",0,0,1,0,1,-1110.37689337944,2259.53167826349,19,67,TRUE,37.0930795138679,8.81739151794543e-09,2.9429798547722e-09,0.999999993517117
"function20"," temp lunar_phase chinook0_hatchery_perhour_interpolate",1,0,0,1,1,-1109.55127102221,2259.96319778213,20,74,TRUE,37.524599032502,7.10619060748056e-09,2.37183250391266e-09,0.999999995888949
"function24"," flow lunar_phase chinook0_hatchery_perhour_interpolate",0,0,1,1,1,-1110.02974098139,2260.92013770048,20,71,TRUE,38.4815389508526,4.40392576089894e-09,1.46989784562248e-09,0.999999997358847
"function12"," flow lunar_phase",0,0,1,1,0,-1111.15163581014,2261.08116312488,19,57,TRUE,38.6425643752518,4.06325204511287e-09,1.35619121474777e-09,0.999999998715038
"function7"," temp lunar_phase",1,0,0,1,0,-1111.22281923455,2261.22352997371,19,60,TRUE,38.7849312240883,3.78407028358136e-09,1.26300874708318e-09,0.999999999978047
"function4"," chinook0_hatchery_perhour_interpolate",0,0,0,0,1,-1116.9733188584,2270.64602421987,18,45,TRUE,48.2074254702461,3.40322423885972e-11,1.13589380213553e-11,0.999999999989406
"function14"," lunar_phase chinook0_hatchery_perhour_interpolate",0,0,0,1,1,-1116.68660638618,2272.15110427696,19,52,TRUE,49.7125055273386,1.60349121142356e-11,5.3519709575326e-12,0.999999999994758
"function31","None",0,0,0,0,0,-1119.12816909311,2272.88146586752,17,38,TRUE,50.4428671178962,1.11293699673758e-11,3.71464866266093e-12,0.999999999998472
"function3"," lunar_phase",0,0,0,1,0,-1118.97963548174,2274.65865746654,18,55,TRUE,52.2200587169123,4.57676198296977e-12,1.52758537358289e-12,1
