"c","photoperiod","photoperiod_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" photoperiod temp_diff flow lunar_phase",1,0,1,1,0,1,0,-2015.85261583719,4107.33916543382,37,96,TRUE,56.08,0,0,1
" temp_diff chinook0_hatchery_perhour_interpolate",0,0,1,0,0,0,1,-2016.96676547759,4107.48056928271,36,82,TRUE,56.22,0,0,1
" temp_diff flow",0,0,1,1,0,0,0,-2018.05009771894,4107.56276073096,35,86,TRUE,56.3,0,0,1
" temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",0,0,1,0,0,1,1,-2016.4246723212,4108.48327840184,37,98,TRUE,57.22,0,0,1
" temp_diff flow lunar_phase",0,0,1,1,0,1,0,-2017.76900246096,4109.08504324944,36,91,TRUE,57.83,0,0,1
" photoperiod temp_diff",1,0,1,0,0,0,0,-2022.97791149342,4117.41838827993,35,98,TRUE,66.16,0,0,1
" photoperiod temp_diff lunar_phase",1,0,1,0,0,1,0,-2022.84524276646,4119.23752386045,36,93,TRUE,67.98,0,0,1
" temp_diff",0,0,1,0,0,0,0,-2025.50365378757,4120.38781801598,34,71,TRUE,69.13,0,0,1
" temp_diff lunar_phase",0,0,1,0,0,1,0,-2025.3279494813,4122.1184642557,35,85,TRUE,70.86,0,0,1
" photo_diff photoperiod flow flow_diff chinook0_hatchery_perhour_interpolate",1,1,0,1,1,0,1,-2028.09059874015,4135.9962062063,39,117,TRUE,84.74,0,0,1
" photo_diff photoperiod flow lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",1,1,0,1,1,1,1,-2027.09702651083,4136.10324976206,40,132,TRUE,84.84,0,0,1
" photoperiod flow flow_diff chinook0_hatchery_perhour_interpolate",1,0,0,1,1,0,1,-2029.4604275322,4136.64411087836,38,115,TRUE,85.38,0,0,1
" photoperiod flow lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",1,0,0,1,1,1,1,-2028.43995473565,4136.6949181973,39,113,TRUE,85.44,0,0,1
" photo_diff flow flow_diff chinook0_hatchery_perhour_interpolate",0,1,0,1,1,0,1,-2030.08495240005,4137.89316061405,38,108,TRUE,86.63,0,0,1
" photo_diff flow lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",0,1,0,1,1,1,1,-2029.12792860379,4138.07086593359,39,111,TRUE,86.81,0,0,1
" photo_diff photoperiod flow_diff chinook0_hatchery_perhour_interpolate",1,1,0,0,1,0,1,-2030.92176979991,4139.56679541377,38,100,TRUE,88.31,0,0,1
" photo_diff photoperiod lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",1,1,0,0,1,1,1,-2029.97855268237,4139.77211409074,39,128,TRUE,88.51,0,0,1
" photo_diff flow_diff chinook0_hatchery_perhour_interpolate",0,1,0,0,1,0,1,-2032.39710528493,4140.42814432931,37,106,TRUE,89.17,0,0,1
" photo_diff lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",0,1,0,0,1,1,1,-2031.48107459066,4140.68540499527,38,117,TRUE,89.43,0,0,1
" photo_diff flow flow_diff",0,1,0,1,1,0,0,-2033.78959216358,4141.12622265468,36,97,TRUE,89.87,0,0,1
" photo_diff flow lunar_phase flow_diff",0,1,0,1,1,1,0,-2033.19672028755,4142.02737433454,37,111,TRUE,90.77,0,0,1
" photo_diff photoperiod flow flow_diff",1,1,0,1,1,0,0,-2033.71282589283,4143.05958554509,37,109,TRUE,91.8,0,0,1
" photo_diff photoperiod flow lunar_phase flow_diff",1,1,0,1,1,1,0,-2033.1378739197,4143.99900365335,38,119,TRUE,92.74,0,0,1
" photo_diff flow_diff",0,1,0,0,1,0,0,-2037.08178479263,4145.62613487836,35,84,TRUE,94.37,0,0,1
" flow flow_diff chinook0_hatchery_perhour_interpolate",0,0,0,1,1,0,1,-2035.18544676869,4146.00482729683,37,104,TRUE,94.75,0,0,1
" flow lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",0,0,0,1,1,1,1,-2034.19054102635,4146.10433786666,38,99,TRUE,94.85,0,0,1
" photoperiod flow_diff chinook0_hatchery_perhour_interpolate",1,0,0,0,1,0,1,-2035.43625692654,4146.50644761252,37,95,TRUE,95.25,0,0,1
" photo_diff lunar_phase flow_diff",0,1,0,0,1,1,0,-2036.56479630845,4146.67663094443,36,103,TRUE,95.42,0,0,1
" photoperiod lunar_phase flow_diff chinook0_hatchery_perhour_interpolate",1,0,0,0,1,1,1,-2034.47958402059,4146.68242385514,38,105,TRUE,95.42,0,0,1
" photo_diff photoperiod flow_diff",1,1,0,0,1,0,0,-2037.08059771053,4147.70823374859,36,105,TRUE,96.45,0,0,1
" photo_diff photoperiod lunar_phase flow_diff",1,1,0,0,1,1,0,-2036.55973397703,4148.75340171351,37,113,TRUE,97.49,0,0,1
" photoperiod flow flow_diff",1,0,0,1,1,0,0,-2037.67309729841,4148.89323292434,36,98,TRUE,97.63,0,0,1
