"c","residuals","flow","flow_difference","temperature_difference","photoperiod","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
" flow photoperiod",0,1,0,0,1,0,0,-1209.7,2531.54,53,37,TRUE,34.3400000000001,0,0,1
" photoperiod lunar_phase",0,0,0,0,1,1,0,-1209.72,2531.59,53,37,TRUE,34.3900000000003,0,0,1
" photoperiod flow_diff lunar_phase",0,0,1,0,1,1,0,-1208.7,2531.8,54,37,TRUE,34.6000000000004,0,0,1
" flow photoperiod flow_diff",0,1,1,0,1,0,0,-1208.7,2531.8,54,33,TRUE,34.6000000000004,0,0,1
" flow photoperiod lunar_phase",0,1,0,0,1,1,0,-1209.69,2533.78,54,37,TRUE,36.5800000000004,0,0,1
" flow photoperiod flow_diff lunar_phase",0,1,1,0,1,1,0,-1208.69,2534.01,55,38,TRUE,36.8100000000004,0,0,1
" chinook0_hatchery_perhour_inp",0,0,0,0,0,0,1,-1212.96,2538.07,53,31,TRUE,40.8700000000003,0,0,1
" flow_diff chinook0_hatchery_perhour_inp",0,0,1,0,0,0,1,-1212.1,2538.58,54,32,TRUE,41.3800000000001,0,0,1
" lunar_phase chinook0_hatchery_perhour_inp",0,0,0,0,0,1,1,-1212.91,2540.21,54,34,TRUE,43.0100000000002,0,0,1
" flow chinook0_hatchery_perhour_inp",0,1,0,0,0,0,1,-1212.91,2540.22,54,41,TRUE,43.02,0,0,1
" flow flow_diff chinook0_hatchery_perhour_inp",0,1,1,0,0,0,1,-1212.07,2540.77,55,43,TRUE,43.5700000000002,0,0,1
" flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,0,1,0,0,1,1,-1212.09,2540.82,55,36,TRUE,43.6200000000003,0,0,1
"no covariates",0,0,0,0,0,0,0,-1216.84,2541.37,51,26,TRUE,44.1700000000001,0,0,1
" flow lunar_phase chinook0_hatchery_perhour_inp",0,1,0,0,0,1,1,-1212.87,2542.38,55,34,TRUE,45.1800000000003,0,0,1
" flow_diff",0,0,1,0,0,0,0,-1216.41,2542.74,52,27,TRUE,45.54,0,0,1
" flow flow_diff lunar_phase chinook0_hatchery_perhour_inp",0,1,1,0,0,1,1,-1212.06,2543.01,56,36,TRUE,45.8100000000004,0,0,1
" flow",0,1,0,0,0,0,0,-1216.81,2543.55,52,26,TRUE,46.3500000000004,0,0,1
" lunar_phase",0,0,0,0,0,1,0,-1216.82,2543.57,52,27,TRUE,46.3700000000003,0,0,1
" flow flow_diff",0,1,1,0,0,0,0,-1216.37,2544.89,53,28,TRUE,47.6900000000001,0,0,1
" flow_diff lunar_phase",0,0,1,0,0,1,0,-1216.41,2544.97,53,27,TRUE,47.77,0,0,1
" flow lunar_phase",0,1,0,0,0,1,0,-1216.79,2545.74,53,28,TRUE,48.54,0,0,1
" flow flow_diff lunar_phase",0,1,1,0,0,1,0,-1216.37,2547.13,54,26,TRUE,49.9300000000003,0,0,1
