"c","photoperiod","photo_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","delta_aicc","deltaAICc","rel.LL","weights","cumulative_weights"
" photoperiod temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",1,0,1,1,0,1,1,-1336.78769574816,2752.64054144461,38,116,TRUE,15.59,15.5897649773692,0,0,1
" photoperiod lunar_phase",1,0,0,0,0,1,0,-1341.15020686157,2752.75149508256,34,97,TRUE,15.7,15.7007186153205,0,0,1
" photoperiod photo_diff flow lunar_phase",1,1,0,1,0,1,0,-1339.01741024294,2752.78404649207,36,107,TRUE,15.73,15.7332700248262,0,0,1
" photoperiod temp_diff",1,0,1,0,0,0,0,-1341.16719749897,2752.78547635737,34,100,TRUE,15.73,15.7346998901221,0,0,1
" photoperiod lunar_phase coho1_hatchery_perhour_interpolate",1,0,0,0,0,1,1,-1339.09055930568,2752.93034461755,36,110,TRUE,15.88,15.8795681503052,0,0,1
" photoperiod photo_diff flow lunar_phase coho1_hatchery_perhour_interpolate",1,1,0,1,0,1,1,-1336.94240228578,2752.94995451986,38,129,TRUE,15.9,15.8991780526162,0,0,1
" photoperiod photo_diff",1,1,0,0,0,0,0,-1341.25643703351,2752.96395542644,34,105,TRUE,15.91,15.9131789592011,0,0,1
" photoperiod temp_diff coho1_hatchery_perhour_interpolate",1,0,1,0,0,0,1,-1339.18185623046,2753.1129384671,36,123,TRUE,16.06,16.0621619998583,0,0,1
" photoperiod photo_diff temp_diff flow lunar_phase",1,1,1,1,0,1,0,-1338.17832514593,2753.26160896954,37,116,TRUE,16.21,16.210832502295,0,0,1
" photoperiod photo_diff temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",1,1,1,1,0,1,1,-1336.1990217598,2753.6278571842,39,125,TRUE,16.58,16.5770807169547,0,0,1
" photoperiod photo_diff temp_diff coho1_hatchery_perhour_interpolate",1,1,1,0,0,0,1,-1338.67726662264,2754.25949192297,37,114,TRUE,17.21,17.2087154557253,0,0,1
" photoperiod photo_diff lunar_phase coho1_hatchery_perhour_interpolate",1,1,0,0,0,1,1,-1338.67956955063,2754.26409777895,37,148,TRUE,17.21,17.2133213117086,0,0,1
" photoperiod temp_diff lunar_phase",1,0,1,0,0,1,0,-1341.02344200326,2754.64482215085,35,116,TRUE,17.59,17.5940456836088,0,0,1
" photoperiod photo_diff temp_diff",1,1,1,0,0,0,0,-1341.06911046683,2754.73615907799,35,113,TRUE,17.69,17.6853826107435,0,0,1
" photoperiod photo_diff lunar_phase",1,1,0,0,0,1,0,-1341.10847330385,2754.81488475202,35,107,TRUE,17.76,17.7641082847799,0,0,1
" photoperiod temp_diff lunar_phase coho1_hatchery_perhour_interpolate",1,0,1,0,0,1,1,-1339.03014765802,2754.96525399372,37,119,TRUE,17.91,17.9144775264763,0,0,1
