,c,d,logLik,AICc,num.param,num.iter,converged,deltaAICc,rel.LL,weights
function212,"ATU, Flow,   Hatchery",None,-1098.501971,2267.477955,34,126,TRUE,58.95118409,1.58E-13,8.23E-14
function213,"ATU,   Hatchery",None,-1099.711954,2267.754127,33,131,TRUE,59.2273555,1.38E-13,7.17E-14
function71,"ATU, Flow, Lunar phase,  Hatchery",None,-1098.080497,2268.783262,35,142,TRUE,60.25649114,8.23E-14,4.29E-14
function210,"ATU,  Lunar phase,   Hatchery",None,-1099.328215,2269.130443,34,129,TRUE,60.60367209,6.92E-14,3.60E-14
function118,"Photoperiod,   Hatchery",None,-1101.487793,2271.305805,33,130,TRUE,62.7790337,2.33E-14,1.21E-14
function38,"Temperature, Flow,   Hatchery",None,-1100.613256,2271.700525,34,122,TRUE,63.17375375,1.91E-14,9.97E-15
function114,"Photoperiod,  Lunar phase,   Hatchery",None,-1101.100199,2272.67441,34,133,TRUE,64.14763857,1.18E-14,6.13E-15
function7,None,None,-1119.128169,2272.881466,17,38,TRUE,64.35469474,1.06E-14,5.52E-15
function51,"Temperature, Flow, Lunar phase,  Hatchery",None,-1100.344843,2273.311955,35,129,TRUE,64.78518371,8.55E-15,4.45E-15
function40,"Temperature,   Hatchery",None,-1102.97869,2274.287599,33,128,TRUE,65.76082741,5.25E-15,2.73E-15
function39,"Temperature residuals, Flow,   Hatchery",None,-1102.056022,2274.586056,34,125,TRUE,66.05928441,4.52E-15,2.36E-15
function6,Lunar phase,None,-1118.979635,2274.658657,18,55,TRUE,66.13188634,4.36E-15,2.27E-15
function1,"Flow,   Hatchery",None,-1103.185021,2274.70026,33,113,TRUE,66.17348851,4.27E-15,2.22E-15
function29,"Flow,  Lunar phase,   Hatchery",None,-1102.743903,2275.961818,34,125,TRUE,67.4350467,2.27E-15,1.18E-15
function81,"Temperature residuals, Flow, Lunar phase,  Hatchery",None,-1101.733292,2276.088852,35,133,TRUE,67.56208038,2.13E-15,1.11E-15
function28,"Temperature,  Lunar phase,   Hatchery",None,-1102.81026,2276.094532,34,135,TRUE,67.5677609,2.13E-15,1.11E-15
function310,"Temperature residuals,   Hatchery",None,-1105.745321,2279.820861,33,116,TRUE,71.29408943,3.30E-16,1.72E-16
function36,"Temperature residuals,  Lunar phase,   Hatchery",None,-1105.550374,2281.574761,34,129,TRUE,73.04798941,1.37E-16,7.15E-17
function3,Hatchery,None,-1109.990864,2286.172599,32,110,TRUE,77.64582784,1.38E-17,7.18E-18
function2,"Lunar phase,   Hatchery",None,-1109.649385,2287.628989,33,125,TRUE,79.10221783,6.66E-18,3.47E-18
