"","c","d","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"function13"," photo_diff temp_diff","None",-734.676719276364,1508.7634571056,19,73,TRUE,46.3928994120274
"function64"," photo_diff lunar_phase coho1_hatchery_perhour_interpolate","None",-733.631910716462,1508.82515972289,20,67,TRUE,46.4546020293105
"function22"," resid lunar_phase","None",-734.716863565364,1508.8437456836,19,87,TRUE,46.4731879900273
"function12"," resid temp_diff","None",-734.788916633707,1508.98785182029,19,70,TRUE,46.6172941267127
"function49"," photo_diff temp_diff coho1_hatchery_perhour_interpolate","None",-733.846387450105,1509.25411319017,20,69,TRUE,46.8835554965958
"function63"," resid lunar_phase coho1_hatchery_perhour_interpolate","None",-734.110000015574,1509.78133832111,20,81,TRUE,47.4107806275349
"function67"," temp_diff lunar_phase coho1_hatchery_perhour_interpolate","None",-734.16783857477,1509.8970154395,20,85,TRUE,47.5264577459254
"function48"," resid temp_diff coho1_hatchery_perhour_interpolate","None",-734.241646015609,1510.04463032118,20,83,TRUE,47.6740726276037
"function44"," photo_diff temp_diff lunar_phase","None",-734.444195522386,1510.44972933474,20,67,TRUE,48.0791716411588
"function43"," resid temp_diff lunar_phase","None",-734.555975207968,1510.6732887059,20,73,TRUE,48.3027310123211
"function83"," photo_diff temp_diff lunar_phase coho1_hatchery_perhour_interpolate","None",-733.563336848741,1510.84734408854,21,85,TRUE,48.4767863949658
"function82"," resid temp_diff lunar_phase coho1_hatchery_perhour_interpolate","None",-733.944105203036,1511.60888079713,21,94,TRUE,49.2383231035558
