"","c","photoperiod_difference","photoperiod","temperature_difference","flow","lunar_phase","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"gradient31"," photo_diff_day flow_day_inp temp_diff_day",1,0,1,1,0,0,0,-1677.93,3411.14,27,65,TRUE,169.98,0,0,1
"gradient29"," photo_diff_day flow_day_inp lunar_phase_day",1,0,0,1,1,0,0,-1678,3411.28,27,65,TRUE,170.12,0,0,1
"gradient72"," photo_diff_day flow_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,0,0,1,-1675.92,3411.32,29,83,TRUE,170.16,0,0,1
"gradient38"," photo_diff_day lunar_phase_day temp_diff_day",1,0,1,0,1,0,0,-1678.03,3411.35,27,74,TRUE,170.19,0,0,1
"gradient81"," photo_diff_day lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,0,1,0,1,-1676.32,3412.12,29,72,TRUE,170.96,0,0,1
"gradient69"," photo_diff_day flow_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",1,0,0,1,1,0,1,-1676.39,3412.26,29,87,TRUE,171.1,0,0,1
"gradient68"," photo_diff_day flow_day_inp lunar_phase_day temp_diff_day",1,0,1,1,1,0,0,-1677.92,3413.22,28,86,TRUE,172.07,0,0,1
"gradient106"," photo_diff_day flow_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,1,0,1,-1675.92,3413.41,30,98,TRUE,172.26,0,0,1
"gradient45"," flow_day_inp photoperiod_day temp_diff_day",0,1,1,1,0,0,0,-1684.26,3423.8,27,64,TRUE,182.64,0,0,1
"gradient13"," flow_day_inp photoperiod_day",0,1,0,1,0,0,0,-1685.54,3424.27,26,68,TRUE,183.11,0,0,1
"gradient84"," flow_day_inp photoperiod_day lunar_phase_day temp_diff_day",0,1,1,1,1,0,0,-1684.26,3425.89,28,78,TRUE,184.73,0,0,1
"gradient43"," flow_day_inp photoperiod_day lunar_phase_day",0,1,0,1,1,0,0,-1685.53,3426.35,27,78,TRUE,185.19,0,0,1
"gradient21"," photoperiod_day chinook0_hatchery_perhour_day_inp",0,1,0,0,0,0,1,-1685.83,3426.94,27,40,TRUE,185.79,0,0,1
"gradient6"," chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,1,-1687.14,3427.46,26,43,TRUE,186.3,0,0,1
"gradient58"," photoperiod_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,0,0,1,-1685.36,3428.1,28,43,TRUE,186.94,0,0,1
"gradient46"," flow_day_inp photoperiod_day chinook0_hatchery_perhour_day_inp",0,1,0,1,0,0,1,-1685.45,3428.27,28,45,TRUE,187.11,0,0,1
"gradient55"," photoperiod_day lunar_phase_day chinook0_hatchery_perhour_day_inp",0,1,0,0,1,0,1,-1685.72,3428.82,28,43,TRUE,187.66,0,0,1
"gradient88"," flow_day_inp photoperiod_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,0,0,1,-1684.75,3428.98,29,54,TRUE,187.82,0,0,1
"gradient27"," temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,0,0,1,-1686.94,3429.15,27,45,TRUE,188,0,0,1
"gradient17"," flow_day_inp chinook0_hatchery_perhour_day_inp",0,0,0,1,0,0,1,-1686.99,3429.25,27,49,TRUE,188.09,0,0,1
"gradient24"," lunar_phase_day chinook0_hatchery_perhour_day_inp",0,0,0,0,1,0,1,-1687.05,3429.39,27,46,TRUE,188.23,0,0,1
"gradient95"," photoperiod_day lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,0,1,0,1,-1685.24,3429.96,29,46,TRUE,188.8,0,0,1
"gradient85"," flow_day_inp photoperiod_day lunar_phase_day chinook0_hatchery_perhour_day_inp",0,1,0,1,1,0,1,-1685.37,3430.21,29,56,TRUE,189.05,0,0,1
"gradient52"," flow_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,0,0,1,-1686.73,3430.84,28,46,TRUE,189.69,0,0,1
"gradient115"," flow_day_inp photoperiod_day lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,1,1,1,1,0,1,-1684.67,3430.92,30,48,TRUE,189.77,0,0,1
"gradient61"," lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,1,0,1,-1686.85,3431.08,28,51,TRUE,189.92,0,0,1
"gradient49"," flow_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",0,0,0,1,1,0,1,-1686.92,3431.22,28,42,TRUE,190.06,0,0,1
"gradient16"," flow_day_inp temp_diff_day",0,0,1,1,0,0,0,-1689.7,3432.58,26,35,TRUE,191.42,0,0,1
"gradient1"," flow_day_inp",0,0,0,1,0,0,0,-1690.79,3432.68,25,40,TRUE,191.52,0,0,1
"gradient91"," flow_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,1,0,1,-1686.67,3432.82,29,51,TRUE,191.66,0,0,1
"gradient48"," flow_day_inp lunar_phase_day temp_diff_day",0,0,1,1,1,0,0,-1689.69,3434.65,27,45,TRUE,193.5,0,0,1
"gradient14"," flow_day_inp lunar_phase_day",0,0,0,1,1,0,0,-1690.79,3434.76,26,37,TRUE,193.6,0,0,1
"gradient127"," photo_diff_day flow_day_inp photoperiod_day lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,0,-1693.39,3435.79,24,26,TRUE,194.63,0,0,1
"gradient128"," photo_diff_day flow_day_inp photoperiod_day lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,0,-1693.39,3435.79,24,26,TRUE,194.63,0,0,1
"gradient5"," temp_diff_day",0,0,1,0,0,0,0,-1692.36,3435.81,25,36,TRUE,194.66,0,0,1
"gradient20"," photoperiod_day temp_diff_day",0,1,1,0,0,0,0,-1692.27,3437.74,26,44,TRUE,196.58,0,0,1
"gradient3"," lunar_phase_day",0,0,0,0,1,0,0,-1693.37,3437.83,25,43,TRUE,196.68,0,0,1
"gradient23"," lunar_phase_day temp_diff_day",0,0,1,0,1,0,0,-1692.33,3437.84,26,42,TRUE,196.68,0,0,1
"gradient2"," photoperiod_day",0,1,0,0,0,0,0,-1693.39,3437.88,25,42,TRUE,196.72,0,0,1
"gradient54"," photoperiod_day lunar_phase_day temp_diff_day",0,1,1,0,1,0,0,-1692.24,3439.76,27,43,TRUE,198.6,0,0,1
"gradient18"," photoperiod_day lunar_phase_day",0,1,0,0,1,0,0,-1693.37,3439.92,26,38,TRUE,198.76,0,0,1
